Characteristic,FBI cohort (n=506),Complete-case (n=345),p-value¹
"Age at test, years (mean ± SD)",65.9 ± 11.2,65.3 ± 11.1,0.101
"Male sex, n (%)",284 (56.1%),198 (57.4%),—
"Education, years (mean ± SD)",10.7 ± 4.2,10.8 ± 4.1,0.264
Site of onset (n with data),419,273,0.119
"   Bulbar, n (%)",128 (30.5%),76 (27.8%),
"   Spinal, n (%)",291 (69.5%),197 (72.2%),
ALSFRS-R total at assessment (mean ± SD),38.7 ± 5.2 (n = 383),39.0 ± 5.1 (n = 247),0.171
MiToS stage (n with data),382,246,0.001
"MiToS stage 0 / 1 / 2, n",322 / 57 / 3,207 / 37 / 2,
King’s stage (n with data),382,246,0.266
"King’s stage 1 / 2 / 3 / 4, n",136 / 122 / 112 / 12,94 / 71 / 72 / 9,
C9orf72 expansion (positive / tested),18 / 393 (4.6%),13 / 251 (5.2%),—
Strong 2017 classification (n with data),504,345,0.445
"Strong 2017 classification, n",,,
   Cognitively normal,217,151,
   ALSci,107,74,
   ALSbi,78,52,
   ALScbi,77,55,
   ALS-FTD,25,13,
"FBI total (mean ± SD; median, range)",9.1 ± 9.0; 6 (0–72),9.4 ± 9.2; 7 (0–72),0.308
"Behavioural impairment by consensus, n (%)",—,85 (24.6%),—
